game_date,top_team,top_final,bottom_final,bottom_team,top_spread,top_spread_odds,top_ml_odds,top_total,top_total_odds,bottom_spread,bottom_spread_odds,bottom_ml_odds,bottom_total,bottom_total_odds
2022-03-09,SetonHall,57,53,Georgetown,-9.5,-110,-700,142.0,-110,9.5,-110,500,142.0,-110
2022-03-09,Nevada,79,72,NewMexico,-6.0,-110,-195,151.5,-110,6.0,-110,165,151.5,-110
2022-03-09,St.Johns,92,73,Depaul,-4.5,-110,-210,156.0,-110,4.5,-110,175,156.0,-110
2022-03-09,Xavier,82,89,Butler,-6.5,-110,-225,131.5,-110,6.5,-110,185,131.5,-110
2022-03-09,WashingtonU,82,70,UtahU,-2.5,-110,-120,140.5,-110,2.5,-110,100,140.5,-110
2022-03-09,WashingtonState,66,59,California,-8.0,-110,-345,125.0,-110,8.0,-110,275,125.0,-110
2022-03-09,Oregon,86,72,OregonState,-8.5,-110,-650,142.0,-110,8.5,-110,475,142.0,-110
2022-03-09,ArizonaState,70,71,Stanford,-4.0,-110,-170,128.0,-110,4.0,-110,145,128.0,-110
2022-03-09,FresnoState,69,67,SanJoseState,-13.5,-110,-910,121.5,-110,13.5,-110,655,121.5,-110
2022-03-09,UtahState,83,56,AirForce,-14.5,-110,-1010,125.5,-110,14.5,-110,705,125.5,-110
2022-03-09,RhodeIsland,79,77,Duquesne,-9.5,-110,-425,132.0,-110,9.5,-110,325,132.0,-110
2022-03-09,PennState,60,51,Minnesota,-3.5,-110,-170,125.0,-110,3.5,-110,145,125.0,-110
2022-03-09,St.Josephs,56,63,LaSalle,-1.0,-110,-145,133.5,-110,1.0,-110,125,133.5,-110
2022-03-09,Virginia,51,50,Louisville,-6.0,-110,-220,122.5,-110,6.0,-110,180,122.5,-110
2022-03-09,VirginiaTech,76,75,Clemson,-5.0,-110,-190,129.5,-110,5.0,-110,160,129.5,-110
2022-03-09,WakeForest,77,82,BostonCollege,-10.0,-110,-460,141.0,-110,10.0,-110,355,141.0,-110
2022-03-09,FloridaState,57,96,Syracuse,-2.0,-110,-125,144.5,-110,2.0,-110,105,144.5,-110
2022-03-09,E.Washington,78,75,NorthernArizona,-7.5,-110,-340,140.0,-110,7.5,-110,270,140.0,-110
2022-03-09,PortlandState,66,52,IdahoState,-5.0,-110,-195,135.5,-110,5.0,-110,165,135.5,-110
2022-03-09,SacramentoState,57,54,IdahoU,-3.0,-110,-125,138.0,-110,3.0,-110,105,138.0,-110
2022-03-09,Northwestern,71,69,Nebraska,-4.0,-110,-210,144.5,-110,4.0,-110,175,144.5,-110
2022-03-09,Mississippi,60,72,Missouri,-4.0,-110,-170,130.0,-110,4.0,-110,145,130.0,-110
2022-03-09,AbileneChristian,82,74,UtahValley,-3.0,-110,-115,132.5,-110,3.0,-110,-105,132.5,-110
2022-03-09,MDBaltimoreCo,80,60,Hartford,-3.5,-110,-190,147.0,-110,3.5,-110,160,147.0,-110
2022-03-09,Colgate,74,58,Navy,-7.0,-110,-275,129.5,-110,7.0,-110,225,129.5,-110
2022-03-09,Howard,57,59,CoppinState,-6.0,-110,-245,150.0,-110,6.0,-110,195,150.0,-110
2022-03-09,NorfolkSt,74,66,DelawareState,-16.0,-110,-1700,135.0,-110,16.0,-110,950,135.0,-110
2022-03-09,McNeeseState,80,67,NorthwesternSt,-1.5,-110,-125,155.0,-110,1.5,-110,105,155.0,-110
2022-03-09,HoustonBaptist,74,64,IncarnateWord,-5.0,-110,-190,141.0,-110,5.0,-110,160,141.0,-110
2022-03-09,AlcornState,64,63,PrairieViewA&M,-1.0,-110,-115,139.5,-110,1.0,-110,-105,139.5,-110
2022-03-09,TexasSouthern,54,50,JacksonState,-4.0,-110,-190,126.5,-110,4.0,-110,160,126.5,-110
2022-03-09,Vanderbilt,86,51,Georgia,-9.0,-110,-425,144.0,-110,9.0,-110,325,144.0,-110
2022-03-09,SamHoustonSt,65,35,CaliforniaBaptist,-3.5,-110,-125,131.5,-110,3.5,-110,105,131.5,-110
2022-03-09,St.Peter's,77,63,Fairfield,-5.5,-110,-190,122.5,-110,5.5,-110,160,122.5,-110
2022-03-09,Iona,70,71,Rider,-11.5,-110,-570,136.0,-110,11.5,-110,420,136.0,-110
2022-03-09,KansasState,67,73,WestVirginia,-1.5,-110,-120,137.0,-110,1.5,-110,100,137.0,-110
2022-03-09,FlaAtlantic,86,59,SouthernMiss,-13.5,-110,-1200,135.5,-110,13.5,-110,800,135.5,-110
2022-03-09,UTEP,74,64,OldDominion,-2.5,-110,-125,126.5,-110,2.5,-110,105,126.5,-110
2022-03-09,LouisianaTech,77,67,Marshall,-8.0,-110,-460,149.5,-110,8.0,-110,355,149.5,-110
2022-03-09,CharlotteU,61,73,Rice,-2.5,-110,-145,141.0,-110,2.5,-110,125,141.0,-110
2022-03-09,Vermont,74,42,Binghamton,-21.5,-110,-3900,135.5,-110,21.5,-110,1440,135.5,-110
2022-03-08,Delaware,59,55,NCWilmington,-2.5,-110,-130,133.0,-110,2.5,-110,110,133.0,-110
2022-03-08,Fairfield,72,50,Canisius,-2.5,-110,-145,133.0,-110,2.5,-110,125,133.0,-110
2022-03-08,NorthernKentucky,71,72,WrightState,-1.0,-110,-120,134.5,-110,1.0,-110,100,134.5,-110
2022-03-08,Marist,52,77,Quinnipiac,-2.5,-110,-145,140.5,-110,2.5,-110,125,140.5,-110
2022-03-08,BostonCollege,66,46,Pittsburgh,-2.0,-110,-125,127.5,-110,2.0,-110,105,127.5,-110
2022-03-08,Rider,79,67,Manhattan,-1.5,-110,-125,137.0,-110,1.5,-110,105,137.0,-110
2022-03-08,Louisville,84,74,GeorgiaTech,-1.0,-110,-120,135.0,-110,1.0,-110,100,135.0,-110
2022-03-08,TexSanAntonio,64,67,SouthernMiss,-3.5,-110,-160,138.5,-110,3.5,-110,135,138.5,-110
2022-03-08,Clemson,70,64,NCState,-5.0,-110,-235,142.5,-110,5.0,-110,190,142.5,-110
2022-03-08,Marshall,74,62,FloridaIntl,-3.5,-110,-160,147.5,-110,3.5,-110,135,147.5,-110
2022-03-08,CSBakersfield,58,45,CSNorthridge,-6.0,-110,-200,127.0,-110,6.0,-110,170,127.0,-110
2022-03-08,SouthDakotaState,75,69,NorthDakotaState,-6.0,-110,-200,148.0,-110,6.0,-110,170,148.0,-110
2022-03-08,CaliforniaBaptist,81,80,UTRioGrandeValley,-7.5,-110,-280,147.0,-110,7.5,-110,230,147.0,-110
2022-03-08,UtahValley,69,47,ChicagoSt,-12.5,-110,-910,132.5,-110,12.5,-110,655,132.5,-110
2022-03-08,Gonzaga,82,69,SaintMarysCA,-12.5,-110,-910,140.0,-110,12.5,-110,655,140.0,-110
2022-03-08,UCDavis,63,53,CalPolySLO,-6.0,-110,-245,125.0,-110,6.0,-110,195,125.0,-110
2022-03-08,Bryant,70,43,Wagner,-3.0,-110,-160,149.0,-110,3.0,-110,135,149.0,-110
2022-03-08,Bellarmine,77,72,Jacksonville,-2.5,-110,-150,121.0,-110,2.5,-110,130,121.0,-110
2022-03-07,Chattanooga,64,63,Furman,-2.0,-110,-120,137.0,-110,2.0,-110,100,137.0,-110
2022-03-07,Towson,56,69,Delaware,-5.0,-110,-280,137.0,-110,5.0,-110,230,137.0,-110
2022-03-07,CollCharleston,57,60,NCWilmington,-2.0,-110,-130,148.0,-110,2.0,-110,110,148.0,-110
2022-03-07,SouthDakotaState,83,60,SouthDakota,-9.0,-110,-315,151.5,-110,9.0,-110,255,151.5,-110
2022-03-07,NorthDakotaState,92,72,OralRoberts,-1.5,-110,-160,150.5,-110,1.5,-110,135,150.5,-110
2022-03-07,ClevelandState,67,82,WrightState,-145.0,-110,-120,145.0,-110,145.0,-110,100,145.0,-110
2022-03-07,NorthernKentucky,57,43,IPFW,-2.0,-110,-130,134.0,-110,2.0,-110,110,134.0,-110
2022-03-07,GeorgiaState,80,71,ULLafayette,-3.5,-110,-130,132.5,-110,3.5,-110,110,132.5,-110
2022-03-07,Gonzaga,81,71,SanFrancisco,-14.5,-110,-855,154.0,-110,14.5,-110,605,154.0,-110
2022-03-07,SaintMarysCA,75,72,SantaClara,-4.5,-110,-210,137.5,-110,4.5,-110,175,137.5,-110
2022-03-05,Cornell,78,64,Columbia,-10.5,-110,-600,157.0,-110,10.5,-110,450,157.0,-110
2022-03-05,Rice,71,82,TexSanAntonio,-2.5,-110,-160,149.5,-110,2.5,-110,135,149.5,-110
2022-03-05,TexasTech,51,52,OklahomaState,-3.0,-110,-140,130.0,-110,3.0,-110,120,130.0,-110
2022-03-05,ArizonaState,65,56,Stanford,-6.0,-110,-530,129.5,-110,6.0,-110,390,129.5,-110
2022-03-05,CharlotteU,70,67,SouthernMiss,-8.0,-110,-495,135.0,-110,8.0,-110,370,135.0,-110
