,Rk,School,"City, State",From,To,Link
0,1,Abilene Christian Wildcats,"Abilene, Texas",1971,2022,/cbb/schools/abilene-christian/
1,2,Air Force Falcons,"USAF Academy, Colorado",1958,2022,/cbb/schools/air-force/
2,3,Akron Zips,"Akron, Ohio",1902,2022,/cbb/schools/akron/
3,4,Alabama A&M Bulldogs,"Normal, Alabama",2000,2022,/cbb/schools/alabama-am/
4,5,Alabama Crimson Tide,"Tuscaloosa, Alabama",1913,2022,/cbb/schools/alabama/
5,6,Alabama State Hornets,"Montgomery, Alabama",1983,2022,/cbb/schools/alabama-state/
6,7,Albany (NY) Great Danes,"Albany, New York",2000,2022,/cbb/schools/albany-ny/
7,8,Alcorn State Braves,"Alcorn State, Mississippi",1978,2022,/cbb/schools/alcorn-state/
8,9,Allegheny Gators,"Meadville, Pennsylvania",1896,1916,/cbb/schools/allegheny/
9,10,American Eagles,"Washington, D.C.",1967,2022,/cbb/schools/american/
10,11,Amherst Lord Jeffs,"Amherst, Massachusetts",1901,1902,/cbb/schools/amherst/
11,12,Appalachian State Mountaineers,"Boone, North Carolina",1974,2022,/cbb/schools/appalachian-state/
12,13,Arizona State Sun Devils,"Tempe, Arizona",1912,2022,/cbb/schools/arizona-state/
13,14,Arizona Wildcats,"Tucson, Arizona",1905,2022,/cbb/schools/arizona/
14,15,Arkansas Razorbacks,"Fayetteville, Arkansas",1924,2022,/cbb/schools/arkansas/
15,16,Arkansas State Red Wolves,"State University, Arkansas",1971,2022,/cbb/schools/arkansas-state/
16,17,Arkansas-Pine Bluff Golden Lions,"Pine Bluff, Arkansas",1999,2022,/cbb/schools/arkansas-pine-bluff/
17,18,Armstrong Pirates,"Savannah, Georgia",1987,1987,/cbb/schools/armstrong/
18,19,Army Black Knights,"West Point, New York",1903,2022,/cbb/schools/army/
19,20,Auburn Tigers,"Auburn, Alabama",1906,2022,/cbb/schools/auburn/
21,21,Augusta State Jaguars,"Augusta, Georgia",1985,1991,/cbb/schools/augusta-state/
22,22,Augustana (IL) Vikings,"Rock Island, Illinois",1902,1917,/cbb/schools/augustana-il/
23,23,Austin Peay Governors,"Clarksville, Tennessee",1964,2022,/cbb/schools/austin-peay/
24,24,Baker University Wildcats,"Baldwin City, Kansas",1903,1908,/cbb/schools/baker-university/
25,25,Baldwin-Wallace Yellow Jackets,"Berea, Ohio",1948,1953,/cbb/schools/baldwin-wallace/
26,26,Ball State Cardinals,"Muncie, Indiana",1972,2022,/cbb/schools/ball-state/
27,27,Baltimore Super Bees,"Baltimore, Maryland",1979,1983,/cbb/schools/baltimore/
28,28,Baylor Bears,"Waco, Texas",1907,2022,/cbb/schools/baylor/
29,29,Bellarmine Knights,"Louisville, Kentucky",2021,2022,/cbb/schools/bellarmine/
30,30,Belmont Bruins,"Nashville, Tennessee",2000,2022,/cbb/schools/belmont/
31,31,Beloit Buccaneers,"Beloit, Wisconsin",1911,1924,/cbb/schools/beloit/
